Ticket_ID,Incident,Short_Description,User_Name,Created_At
TKT-0ACD6E,Web Server Security Incident: Critical severity,"Multiple IP addresses causing service disruptions on authentication (/api/auth) and payment (/api/payment) endpoints with 503 errors, 429 on /login.",admin,2026-02-12 15:27:16
TKT-759867,DDoS Attack,Critical DDoS attack affecting web server authentication endpoints /api/auth and /login. Service unavailability (503 errors) and rate limiting (429 errors). Source IPs: 203.112.45.x range and 91.34.55.x range.,Yoga,2026-02-12 16:29:46
TKT-D2E300,Critical DDoS Attack,"Web server is experiencing multiple 503 errors on /api/auth and /login endpoints from IP range 203.112.45.x, along with a potential DDoS or brute force attack.",Yoga,2026-02-12 16:33:55
TKT-9D3DB0,Web Server Security Incident,"Multiple DDoS attacks, rate limiting, server overload, backend timeouts, and botnet traffic affecting /api/auth, /login, /api/payment, /checkout endpoints. Coordinated from multiple source IPs.",admin,2026-02-12 17:23:35
TKT-FC1929,DDoS,"DDoS incident affecting web server with multiple HTTP error codes (503, 429, 500, 502) from multiple entries over 34 seconds.",user,2026-02-12 17:31:52
TKT-BCC260,DDoS attack,"High severity DDoS attack with multiple IP addresses showing suspicious patterns including botnet traffic, high rate requests, and various HTTP errors (503, 429, 500, 502). Affected endpoints include /api/auth, /api/payment, /login, /checkout.",admin,2026-02-12 17:35:18
TKT-77FDCA,Web server security incident with multiple attack vectors,"The web server is experiencing error patterns: 503 Service Unavailable on /api/auth endpoint from various IP ranges, 429 Rate Limit Exceeded on /login, 500 Server Overload on /api/payment, and 502 Bad Gateway on /checkout. Patterns suggest coordinated attacks including DDoS, botnet traffic, and potential application layer attacks affecting authentication, payment, and checkout services.",User,2026-02-12 17:37:38
TKT-B6019E,Authentication failure,Multiple 503 errors reported on the /api/auth endpoint.,yoga,2026-02-12 17:48:27
TKT-A94B92,Critical DDoS attack on web server infrastructure,"Critical DDoS attack targeting the web server with various HTTP errors (503, 429, 500, 502) affecting multiple endpoints. Coordinated from multiple IP ranges.",admin,2026-02-12 20:31:33
TKT-E303EE,Server Overload,"The server is experiencing significant disruption due to multiple backend API calls, leading to 503 Service Unavailable errors for /api/auth and /api/payment. This affects user experience and critical access.",User,2026-02-12 20:34:27
TKT-16DD25,Webex connectivity and functionality issues,"User reported notification problems, bridge number issues after laptop replacement, inability to make calls on demo meetings today.",user,2026-02-12 20:36:33
TKT-D78B63,Webex Access & Functionality Issue: Multiple Technical Problems,"The user is experiencing multiple technical issues with Webex access, including inability to receive notifications, cannot use bridge number after laptop replacement, cannot make/answer calls or share screen, getting access denied errors like 'You cannot access this right now' and 'Your sign-in was successful but does not meet the criteria to access this resource', audio quality issues, login problems on mobile after password change. The user is urgently needing assistance.",assistant,2026-02-12 20:39:58
